 RAW,36.750,1,392,348,56,392,348,517,506.4,397.7,560.7,0
 RAW,36.875,0,81,106,170,274,261,170,448.3,363.6,463.1,0
 RAW,37.000,1,921,612,1003,392,348,517,434.2,359.7,476.5,0
 RAW,37.125,0,714,521,474,714,521,474,504.2,400.0,475.9,0
 PROC,37.125,0,70,40,1.7500,1.3115,1.0000,+0.00,+0.00,-0.5455,-0.2324,475
 RAW,37.250,1,62,95,60,392,348,170,476.1,387.0,399.4,0
 RAW,37.375,0,609,463,992,609,463,474,509.3,406.0,418.1,0
 RAW,37.500,1,931,628,869,714,521,869,560.5,434.7,530.8,0
 RAW,37.625,0,223,186,54,609,463,474,572.6,441.8,516.6,0
 RAW,37.750,1,207,210,412,223,210,412,485.2,383.9,490.5,0
 RAW,37.875,0,980,624,977,609,463,869,516.2,403.6,585.1,0
 RAW,38.000,1,472,303,64,472,303,412,505.1,378.5,541.8,0
 RAW,38.125,0,68,95,128,223,210,128,434.6,336.4,438.4,0
 PROC,38.125,0,71,42,1.6905,1.3873,1.0000,+0.00,+0.00,-0.5133,-0.2886,489
 RAW,38.250,1,792,540,1001,472,303,412,443.9,328.0,431.8,0
 RAW,38.375,0,809,527,646,792,527,646,531.0,377.8,485.3,0
 PROC,38.375,0,87,49,1.7755,1.4649,1.0000,+0.00,+0.00,-0.5588,-0.3426,458
 RAW,38.500,1,97,106,67,472,303,128,516.2,359.1,396.0,0
 RAW,38.625,0,467,371,806,467,371,646,503.9,362.1,458.5,0
 RAW,38.750,1,958,612,919,792,527,806,575.9,403.3,545.4,0
 RAW,38.875,0,326,220,69,467,371,646,548.7,395.2,570.5,0
 RAW,39.000,1,164,164,287,326,220,287,493.0,351.4,499.6,0
 RAW,39.125,0,926,596,988,467,371,806,486.5,356.3,576.2,0
 RAW,39.250,1,572,367,280,572,367,287,507.9,359.0,503.9,0
 RAW,39.375,0,59,84,126,326,220,280,462.4,324.2,447.9,0
 RAW,39.500,1,694,501,989,572,367,287,489.8,334.9,407.7,0
 RAW,39.625,0,843,542,718,694,501,718,540.9,376.4,485.3,0
 PROC,39.625,0,51,42,1.2143,1.4148,1.0000,+0.00,+0.00,-0.1935,-0.3128,446
 RAW,39.750,1,169,131,65,572,367,280,548.6,374.1,434.0,0
 RAW,39.875,0,400,323,679,400,323,679,511.5,361.3,495.2,0
 RAW,40.000,1,965,631,947,694,501,718,557.1,396.2,550.9,0
 RAW,40.125,0,357,239,60,400,323,679,517.8,377.9,582.9,0
 RAW,40.250,1,138,149,261,357,239,261,477.6,343.2,502.5,0
 RAW,40.375,0,879,581,988,400,323,679,458.2,338.1,546.6,0
 RAW,40.500,1,616,405,356,616,405,356,497.7,354.9,498.9,0
 RAW,40.625,0,67,89,98,357,239,261,462.5,325.9,439.5,0
 RAW,40.750,1,668,490,994,616,405,356,500.9,345.7,418.6,0
 RAW,40.875,0,869,579,758,668,490,758,542.7,381.8,503.4,0
 RAW,41.000,1,196,160,64,616,405,356,561.0,387.6,466.6,0
 RAW,41.125,0,353,295,606,353,295,606,509.0,364.4,501.4,0
 RAW,41.250,1,975,631,968,668,490,758,548.7,395.8,565.6,0
 RAW,41.375,0,402,262,55,402,295,606,512.1,370.6,575.7,0
 RAW,41.500,1,115,129,214,353,262,214,472.3,343.5,485.3,0
 RAW,41.625,0,861,573,988,402,295,606,454.7,331.3,515.4,0
 RAW,41.750,1,670,443,434,670,443,434,508.5,359.3,495.1,0
 RAW,41.875,0,62,87,88,402,262,214,481.9,334.9,424.8,0
 RAW,42.000,1,611,460,985,611,443,434,514.2,362.0,427.1,0
 RAW,42.125,0,898,578,801,670,460,801,553.1,386.5,520.6,0
 RAW,42.250,1,239,178,58,611,443,434,567.6,400.6,498.9,0
